feature,importance
dist_to_ball_land,0.254013468294549
closest_defender_dist,0.1268942176580321
passer_speed,0.05184311347538687
avg_defender_dist,0.050281370216538175
receiver_acceleration,0.04725499980882866
dropback_distance,0.04286136192809696
direction_change,0.0408236989171102
speed_change,0.038458933926893174
dist_from_passer,0.03727292048991799
receiver_direction,0.03430971772016339
receiver_speed,0.030868430831304576
yardline_number,0.028942567309338925
pass_length,0.028297338726060963
max_speed,0.027178242282604775
yards_to_endzone,0.02560574379588176
distance_covered,0.024998793399672342
yards_to_go,0.02306748472988361
avg_speed,0.021270171414381076
defenders_in_the_box,0.012203651584485326
down,0.006692736681849034
defenders_within_10yds,0.00498951892684208
coverage_COVER_4_ZONE,0.003849063656310157
coverage_COVER_3_ZONE,0.003843623467859215
route_OUT,0.003510162994083541
quarter,0.0031973023961302904
route_CORNER,0.0030862646345520364
route_POST,0.0030338701274671294
defenders_within_5yds,0.00268508544502247
route_HITCH,0.0022812850906596075
play_action,0.0017806620015477577
route_IN,0.0017726314078991988
coverage_COVER_6_ZONE,0.001746122927867933
formation_SHOTGUN,0.0016081074795310088
route_GO,0.0015292203908489166
route_CROSS,0.0014835252328248706
route_FLAT,0.0013920365558341998
coverage_COVER_1_MAN,0.001130029149992632
route_SLANT,0.0011013398070436364
coverage_COVER_2_MAN,0.0010455231588830118
coverage_COVER_2_ZONE,0.0006035599789590921
route_WHEEL,0.0005499888769192401
is_redzone,0.0003282246965624344
formation_SINGLEBACK,0.00014680625608861218
coverage_PREVENT,0.00013083660736117354
route_SCREEN,2.379133201992981e-05
formation_PISTOL,1.196936640548963e-05
formation_I_FORM,4.848435053528277e-07
coverage_Unknown,0.0
is_two_minute_drill,0.0
formation_JUMBO,0.0
formation_WILDCAT,0.0
